,charity_name,address,city,state,zipcode,url,phone_number,email,category_name,charity_description,charity_tag,logo,ruling_year,assets,income,expenses,irs_form
0,17solutions,2248 Nicholl St W,Boulder,CO,80304,http://www.17global.com/home.html,NULL,NULL,Environment,"17 was created to help companies and brands can engage with the Global Goals by: 1) Being better global citizens through improved sustainability and social practices, and 2) Creating and growing business value by leveraging previously unidentified opportunities within each of the SDG’s.

The vast majority of companies are neither embracing the Global Goals culturally, nor tapping into their own businesses' potential to make a larger, world-positive impact. Studies show that businesses have improved growth and profitability potential, as well as better talent recruitment and retention, when they incorporate sustainable practices. Highlighting this, the UN Global Goal framework  provides a compelling and meaningful opportunity for companies, both large and small, to accelerate by tapping into a growing global community that is transforming how business will be conducted in the 21st century and beyond.​",17 was created to help companies and brands can engage with the Global Goals.,https://scontent-dfw5-1.xx.fbcdn.net/v/t1.0-9/14316777_1323663220977111_5985790054000080824_n.jpg?_nc_cat=100&_nc_ht=scontent-dfw5-1.xx&oh=cc18db66ae8d20594d40f0752da7bc34&oe=5CB15051,2017,NULL,NULL,NULL,NULL
1,350 Colorado, 2861 Ellison Pl,Boulder,CO,80304,https://350colorado.org/,(504) 258-1247,outreach@350colorado.org ,Environment,"350 Colorado formed as an independent state affiliate of 350.org, a global organization building a movement to solve the climate crisis. Although we have been organizing events and growing since 2010, in 2013 we decided to organize as a nonprofit organization at the suggestion of friends at 350.org in order to better support local 350 teams around the state financially and logistically and to more effectively address how Colorado contributes to and can help solve the climate crisis. By June of 2013, Executive Director Micah Parkin had started 350 Colorado with a Board of Directors from teams around the state. In September of 2014, 350 Colorado received 501(c)(3) nonprofit status from the IRS. The mission of 350 Colorado (350CO) is to work locally to help build the global grassroots movement to solve the climate crisis and transition to a sustainable future. 350 Colorado has established itself as the largest Colorado-based grassroots network focused on taking action to stop climate change.",350 Colorado has established itself as the largest Colorado-based grassroots network focused on taking action to stop climate change.,https://scontent-dfw5-1.xx.fbcdn.net/v/t1.0-9/12107754_1081404105246897_4709138346467097884_n.png?_nc_cat=111&_nc_ht=scontent-dfw5-1.xx&oh=f9e50a78ca3ba811ff4c58068c05dcce&oe=5CA80BB7,2014,"$63,033","$13,771,791","$10,618,251",https://www.guidestar.org/FinDocuments/2016/463/355/2016-463355370-0e12efbf-Z.pdf
2,3l Foundation,1440A Lee Hill Dr #5,Boulder,CO,80304,http://www.3lfoundation.org/site/,(720) 234-5447,NULL,Education,"Our world is filled with discarded children in despair, forced into tragic lives for their very existence. It is our mission that they Learn how priceless and cherished they are; That they Laugh in joy and fellowship despite the decay that surrounds them; That they fear no risk of Love given or received.

To Learn, Laugh, Love. 3L is a product of our shared experiences to illuminate a bright path for those in darkness.","There is so much more to life than the practical. Beauty, love, and joy are not luxuries of life. They are essential to life. For those deprived of kindness, hope and beauty, the collective effort of Ashley, Pam and Matt is the creation of the 3L Foundation. It is a vehicle to achieve and provide for those who are now powerless to do so. We invite you along in our journey and to be a part of this amazing effort.",https://scontent-dfw5-1.xx.fbcdn.net/v/t1.0-9/31503_115328611837213_6799348_n.jpg?_nc_cat=104&_nc_ht=scontent-dfw5-1.xx&oh=9a6508b125a39d83e288f1eb556cfc72&oe=5CB0AD3B,2010,"$33,814",NULL,NULL,https://www.guidestar.org/FinDocuments/2012/271/943/2012-271943050-09cd7a64-Z.pdf
3,Above The Seas Llc,2659 Juniper Ave,Boulder,CO,80304,http://abovetheseas.org/,303-731-6733, c4.aboveTheSeas@gmail.com,Education,"The mission of Above The Seas is to support education advancement through the promotion and support of community libraries in the developing world.

Our main objective is to improve village and slum libraries which serve the extremely poor. 

We are a small Non-Governmental Organization (NGO) supporting libraries in the developing world. We collect and manage funds which are used to purchase needed supplies for community libraries. We have very low operation overhead costs. All funds are directed entirely to purchase and deliver supplies to libraries in the poorest places.

We donate supplies to existing libraries to enhance their services and improve the quality of information for the benefit of the local population.",The mission of Above The Seas is to support education advancement through the promotion and support of community libraries in the developing world.,http://abovetheseas.org/images/aboveTheSeas_logo.png,2014,NULL,NULL,NULL,NULL
4,Academy For International School Heads,494 Locust Pl,Boulder,CO,80304,https://www.academyish.org/p/cm/ld/fid=1,303-955-1655 ,office@academyish.org,Education,"We take the responsibility of preparing future heads of school seriously by offering the “Institute for New and Aspiring Heads,” sponsoring mentor/mentee and coaching programs, and developing the” Standards of Excellence for International School Heads.”

As a nonprofit organization created in 1999, by heads and for heads, we have a self-perpetuating board drawn from our individual members.

And it is the membership that makes this organization what it is. Heads of different nationalities, spread across the world, linked together with a common purpose of helping one another succeed as leaders of schools to make a positive difference in the world. The spirit in the organization is one of support, wisdom and warmth. I encourage you to check us out and experience the benefits of being affiliated with a group of peers who share the same vision and commitment to international education and will support you to succeed.","We take the responsibility of preparing future heads of school seriously by offering the “Institute for New and Aspiring Heads,” sponsoring mentor/mentee and coaching programs, and developing the” Standards of Excellence for International School Heads.”",https://www.academyish.org/media/1473268190/sys1header.png,2004,"$710,084","$308,445",NULL,https://www.guidestar.org/FinDocuments/2017/411/968/2017-411968072-0f186614-9.pdf
5,Addictive Bahavior Counseling Ministries International Inc,3228 9th St,Boulder,CO,80304,https://www.abmi.info/,303-444-4747,darvsmithmd@gmail.com,Human Services,"Serving as an addiction training, recovery and counseling provider, Addictive Behavior Ministries International strives to be an effective catalyst for change. Here at Addictive Behavior Ministries International, we create a cycle of healing, change, and discipleship. We aim to bring in victims of addictive behavior, help them heal, recover and lead a life that is pleasing to God. After the program, we equip them with the right set of values and support them to be disciples of men who are going through the same situation they have been. The cycle continues for as long as there are people who are longing for care, attention, understanding, compassion, and love, we will make wonderful things happen in their lives.

​We at Addictive Behavior Ministries International consider ourselves as a vessel of God that He keeps afloat through the raging seas. We brave the seas of addiction and save the lives of many from drowning deeper into their unhealthy addictive ways. Backed with a Master degree in Health and Wellness, we are pleased to offer professional addiction counseling, recovery, and training for various addictive behaviors. We specialize in sex, food, and codependency addictive behaviors. ","Serving as an addiction training, recovery and counseling provider, Addictive Behavior Ministries International strives to be an effective catalyst for change.",http://d2u0df8ueyqs3m.cloudfront.net/wp-content/uploads/2015/02/logo1-295x300.jpg,2006,NULL,NULL,NULL,NULL
6,Aerial Futures,"4949 Broadway St, Ste 105",Boulder,CO,80304,https://www.aerialfutures.org/,NULL,INFO@AERIALFUTURES.ORG,Civic,"AERIAL FUTURES is a non-profit organization exploring innovation in the architecture of flight, technology, and the broader urban mobility ecosystem.","AERIAL FUTURES is a non-profit organization exploring innovation in the architecture of flight, technology, and the broader urban mobility ecosystem.",https://static1.squarespace.com/static/544fb9f5e4b01d21ca92b378/t/5ae09d290e2e7206a774fdc1/1524669739140/AP+logo+black+on+white.png?format=2500w,2017,"$39,105","$72,700",NULL,https://www.guidestar.org/FinDocuments/2017/821/939/2017-821939187-0f62003f-Z.pdf
7,Alandi Ashram,2457 20th Street,Boulder,CO,80304,https://www.alandiashram.org/,303-786-7437,info@alandiashram.org,Religious,"The primary spiritual guide of the Alandi Lineage, Saint Jnaneshwar, is a remarkable being revered throughout India for his broad philosophy. His teachings, presented in contradiction to the narrowness of classical Vedanta, offer a broad synthesis of all that is finest in Indian spirituality, fusing the Jnana yoga of the Vedantics, the esoteric yoga of Macchendranath’s tantric yogi lineage and the bhakti of the common people. Later, as Moslem influences pervaded the region where Saint Jnaneshwar's spiritual heirs lived, Sufism and the jnana-bhakti yoga of Jnaneshwar fused to form a path that defied all categories of limited religion. The greatest manifestation of this part of complete universality was Sai Baba of Shirdi, one of the main teachers of the Alandi lineage.","The spirituality of Alandi presents a balance of particular and universal, being deeply rooted in a lineage which has, from time out of mind, had a remarkably universalist and ecumenical character.",https://static1.squarespace.com/static/5961338d4c8b034eb8980da3/t/59614c45414fb5783d03e503/1542740329156/?format=1500w,1999,NULL,NULL,NULL,NULL
8,Alliance For Climate Education Inc,"4696 Broadway, Suite 2",Boulder,CO,80304,https://acespace.org/,720-458-0685,hello@acespace.org,Environment,"Alliance for Climate Education's mission is to educate young people on the science of climate change and empower them to take action. By empowering youth to take action within a frame of justice and optimism, we are growing and strengthening the climate movement, and shifting the national discourse on climate in ways that are proven to affect public opinion and policy.

ACE does two things best.
First, we teach climate science that puts teenagers at the center of the story. Our dynamic classroom teaching resources are award-winning and proven to work.  

Second, we give every student a chance to take action. For some, it’s a small lifestyle change. For others, it’s hands-on preparation for a lifetime of leadership.",Alliance for Climate Education's mission is to educate young people on the science of climate change and empower them to take action.,https://acespace.org/sites/all/themes/ace/logo.png,2009,"$304,208","$1,807,370","$2,032,430",https://www.guidestar.org/FinDocuments/2017/263/106/2017-263106566-0f5dfb6f-9.pdf
9,American Federation Of Teachers,918 Juniper Ave,Boulder,CO,80304,https://www.aft.org/,202-879-4400,NULL,Education,"The American Federation of Teachers is a union of professionals that champions fairness; democracy; economic opportunity; and high-quality public education, healthcare and public services for our students, their families and our communities. We are committed to advancing these principles through community engagement, organizing, collective bargaining and political activism, and especially through the work our members do.","The American Federation of Teachers is a union of professionals that champions fairness; democracy; economic opportunity; and high-quality public education, healthcare and public services for our students, their families and our communities.",https://www.aft.org/sites/all/themes/custom/aftorg/logo.png\,1967,"$49,057,485","$176,265,529","$189,438,183",https://www.guidestar.org/FinDocuments/2017/360/725/2017-360725240-0f18af20-9O.pdf
