,charity_name,city,state,zipcodes
0,1000 Friends Of Colorado Inc,Boulder,CO,80304
1,17solutions,Boulder,CO,80304
2,350 Colorado,Boulder,CO,80304
3,3l Foundation,Boulder,CO,80304
4,Above The Seas Llc,Boulder,CO,80304
5,Academy For International School Heads,Boulder,CO,80304
6,Addictive Bahavior Counseling Ministries International Inc,Boulder,CO,80304
7,Aedra,Boulder,CO,80304
8,Aerial Futures,Boulder,CO,80304
9,Alandi Ashram,Boulder,CO,80304
10,Alex Maldonado Scholarship Fund,Boulder,CO,80304
11,Alliance For Climate Education Inc,Boulder,CO,80304
12,Altai Institute For Research And Conservation Inc,Boulder,CO,80304
13,Alumnae Association Of Mount Holyoke College Inc,Boulder,CO,80304
14,American Federation Of Teachers,Boulder,CO,80304
15,American Group Psychotherapy Association Inc,Boulder,CO,80304
16,Anam Chara,Boulder,CO,80304
17,Apple Ridge Park Homeowners Association,Boulder,CO,80304
18,Art,Boulder,CO,80304
19,Art Parts Creative Reuse Center,Boulder,CO,80304
20,Association Of Colorado Independent Schools,Boulder,CO,80304
21,Athletes Coalition,Boulder,CO,80304
22,Baobao Foundation,Boulder,CO,80304
23,Betty Byfield Paul Foundation,Boulder,CO,80304
24,Blue Moon Dance Company,Boulder,CO,80304
25,Bolderlife Foundation,Boulder,CO,80304
26,Boulder Aikikai Inc,Boulder,CO,80304
27,Boulder Art Matrix,Boulder,CO,80304
28,Boulder Bear Coalition,Boulder,CO,80304
29,Boulder Bible Chapel,Boulder,CO,80304
30,Boulder Carshare,Boulder,CO,80304
31,Boulder County Latina League Inc,Boulder,CO,80304
32,Boulder Cycling Club,Boulder,CO,80304
33,Boulder High Lacrosse,Boulder,CO,80304
34,Boulder Housing Partners Foundation,Boulder,CO,80304
35,Boulder Metalsmithing Association,Boulder,CO,80304
36,Boulder Nablus Sister City Project Inc,Boulder,CO,80304
37,Boulder Opera,Boulder,CO,80304
38,Boulder Samba School,Boulder,CO,80304
39,Boulder Shelter For The Homeless Inc,Boulder,CO,80304
40,Boulder Tibet Sister City Project Inc,Boulder,CO,80304
41,Boulder Valley Cycling Alliance,Boulder,CO,80304
42,Buddhist Arts And Film Festival,Boulder,CO,80304
43,Cancer Quilt Project,Boulder,CO,80304
44,Casa De Dios Shalom,Boulder,CO,80304
45,Cdr Associates,Boulder,CO,80304
46,Centennial Middle School Parentteacher Organization,Boulder,CO,80304
47,Center Of Light And Truth-new Thought Science,Boulder,CO,80304
48,Central Christian Church Of Boulder Colorado,Boulder,CO,80304
49,Child And Family Advocacy Program,Boulder,CO,80304
50,Childrens House Preschool Inc,Boulder,CO,80304
51,Cini Usa Inc,Boulder,CO,80304
52,Citizens For Engaged Communities Inc,Boulder,CO,80304
53,Climbing Wall Association Inc,Boulder,CO,80304
54,Climbing Without Borders,Boulder,CO,80304
55,Coalition For Collaborative Development,Boulder,CO,80304
56,Coalition For Good Governance,Boulder,CO,80304
57,Code Wagon,Boulder,CO,80304
58,Colorado Asia Council,Boulder,CO,80304
59,Colorado Association For Play Therapy,Boulder,CO,80304
60,Colorado Bowhunters Association Inc,Boulder,CO,80304
61,Colorado Film Society,Boulder,CO,80304
62,Colorado High School Cycling League,Boulder,CO,80304
63,Colorado Mosaic Artists,Boulder,CO,80304
64,Colorado Straw Bale Association,Boulder,CO,80304
65,Colorado Textile Group,Boulder,CO,80304
66,Concept Restaurants Inc Employee Health Plan,Boulder,CO,80304
67,Congregation Nevei Kodesh,Boulder,CO,80304
68,Cyclists 4 Community,Boulder,CO,80304
69,Daniels Family Foundation,Boulder,CO,80304
70,Deaf Education Industries,Boulder,CO,80304
71,Democracy And Media Education Foundation,Boulder,CO,80304
72,Earth Guardians Inc,Boulder,CO,80304
73,Edm Cares Project,Boulder,CO,80304
74,Emergency Family Assistance Association Inc,Boulder,CO,80304
75,Energyschool Foundation,Boulder,CO,80304
76,Eon Zen Center Inc,Boulder,CO,80304
77,Equussential Education,Boulder,CO,80304
78,Evan Spear Foundation,Boulder,CO,80304
79,Everyday Good Eating,Boulder,CO,80304
80,F R O G Pose,Boulder,CO,80304
81,Fantasyland Institute Of Learning Inc,Boulder,CO,80304
82,Feed The Soul Inc,Boulder,CO,80304
83,First Orthodox Presbyterian Church,Boulder,CO,80304
84,Flatirons Chamber Music Festival,Boulder,CO,80304
85,Foothill Elementory Pto,Boulder,CO,80304
86,Foundation For African Resources,Boulder,CO,80304
87,Foundation For Earth Science Information Partners,Boulder,CO,80304
88,Free To Live Fellowship Inc,Boulder,CO,80304
89,Friends Of The Peace Parks Inc,Boulder,CO,80304
90,Front Range Agility Club,Boulder,CO,80304
91,Fugere Family Foundation,Boulder,CO,80304
92,Futurity Foundation,Boulder,CO,80304
93,Gateway Apprenticeship Program,Boulder,CO,80304
94,General Association Of Davidian Seventh Day Adventists Inc,Boulder,CO,80304
95,Gentle Passages Foundation Inc,Boulder,CO,80304
96,Go Flyers Club,Boulder,CO,80304
97,Goose Creek Community Land Trust,Boulder,CO,80304
98,Great Escape Inc,Boulder,CO,80304
99,Green Deck Inc,Boulder,CO,80304
100,Growing Gardens Of Boulder County Inc,Boulder,CO,80304
101,Gzsobols Parkinsons Network,Boulder,CO,80304
102,Hands For Life,Boulder,CO,80304
103,Herb Research Foundation,Boulder,CO,80304
104,Hillside Church Of The Savior,Boulder,CO,80304
105,Holy Cross Wilderness Defense Fund,Boulder,CO,80304
106,Honnold Foundation,Boulder,CO,80304
107,Ida P Rolf Research Foundation,Boulder,CO,80304
108,Immigrant Legal Center Of Boulder County,Boulder,CO,80304
109,Incite Productions Inc,Boulder,CO,80304
110,Informed Family Life,Boulder,CO,80304
111,Innovative Users Group,Boulder,CO,80304
112,Insight Sangha,Boulder,CO,80304
113,Institute For Bolder Healthcare,Boulder,CO,80304
114,Institute For International Connect Ion,Boulder,CO,80304
115,Irish Step Dancers Of Colorado,Boulder,CO,80304
116,Jack And Sue Witkin Charitable Foundation,Boulder,CO,80304
117,Jarrow School Inc,Boulder,CO,80304
118,Jinpa Foundation,Boulder,CO,80304
