,assets,income,expenses,irs_form
0,,,,
1,"$63,033 ","$13,771,791 ","$10,618,251 ",https://www.guidestar.org/FinDocuments/2016/463/355/2016-463355370-0e12efbf-Z.pdf
2,"$33,814 ",,,https://www.guidestar.org/FinDocuments/2012/271/943/2012-271943050-09cd7a64-Z.pdf
3,,,,
4,"$710,084 ","$308,445 ",,https://www.guidestar.org/FinDocuments/2017/411/968/2017-411968072-0f186614-9.pdf
5,,,,
6,"$39,105 ","$72,700 ",,https://www.guidestar.org/FinDocuments/2017/821/939/2017-821939187-0f62003f-Z.pdf
7,,,,
8,"$304,208 ","$1,807,370 ","$2,032,430 ",https://www.guidestar.org/FinDocuments/2017/263/106/2017-263106566-0f5dfb6f-9.pdf
9,"$49,057,485 ","$176,265,529 ","$189,438,183 ",https://www.guidestar.org/FinDocuments/2017/360/725/2017-360725240-0f18af20-9O.pdf
10,"$1,790,192 ","$1,684,756 ",,https://www.guidestar.org/FinDocuments/2016/131/876/2016-131876348-0e39ae1c-9.pdf
11,,"$35,492 ",,https://www.guidestar.org/FinDocuments/2016/462/419/2016-462419105-0ddf43f5-Z.pdf
12,"$409,309 ","$303,985 ",,https://www.guidestar.org/FinDocuments/2016/846/031/2016-846031738-0e2f7022-9.pdf
13,,,,
14,,,,
15,,,,
16,,,,
17,"$120,773 ","$100,185 ",,https://www.guidestar.org/FinDocuments/2016/840/882/2016-840882921-0dcbd804-9.pdf
18,,,,
19,,,,https://www.guidestar.org/FinDocuments/2013/463/941/2013-463941088-0a8ebc4c-Z.pdf
20,"$289,332 ","$607,670 ",,https://www.guidestar.org/FinDocuments/2016/841/472/2016-841472528-0ea7dad4-9.pdf
21,"$42,897 ",,,http://www.guidestar.org/FinDocuments/2016/841/545/2016-841545027-0e61c429-Z.pdf
22,,,,
23,"$402,018 ","$472,884 ",,http://www.guidestar.org/FinDocuments/2017/841/584/2017-841584949-0f4d4061-9.pdf
24,"$61,577 ","$73,095 ",,http://www.guidestar.org/FinDocuments/2017/461/995/2017-461995739-0f5f41d0-Z.pdf
25,,,,
26,,,,
27,"$5,872,385 ","$2,339,296 ","$2,476,170 ",http://www.guidestar.org/FinDocuments/2017/841/041/2017-841041149-0f4db155-9.pdf
28,,,,
29,"$19,837 ","$22,578 ",,
30,,,,
31,,,,
32,"$401,664 ","$1,362,720 ","$1,219,673 ",http://www.guidestar.org/FinDocuments/2016/840/770/2016-840770962-0e934e36-9.pdf
33,,,,
34,"$458,238 ","$292,472 ","$252,232 ",http://www.guidestar.org/FinDocuments/2017/841/503/2017-841503951-0ed76a97-9.pdf
35,,,,
36,"$655,785 ","$532,034 ",,http://www.guidestar.org/FinDocuments/2016/861/063/2016-861063819-0eb2ecd0-9O.pdf
37,,,,
38,"$283,767 ",,,http://www.guidestar.org/FinDocuments/2014/263/670/2014-263670783-0c38531a-9.pdf
39,,,,
40,"$4,077 ",,,http://www.guidestar.org/FinDocuments/2016/460/509/2016-460509848-0ddda620-Z.pdf
41,"$24,889 ",,,http://www.guidestar.org/FinDocuments/2014/841/279/2014-841279474-0be159e8-Z.pdf
